plateifu,stellar_pa,halpha_pa,classification,STEL_QUAL,GAS_QUAL,STEL_FEATURE,GAS_FEATURE,GAS_NOTES
8135-12703,350.5,351.5,3,2,2,0,0,0
8135-12704,32.0,33.0,3,2,2,0,0,0
8135-12705,200.0,206.0,3,2,2,0,0,0
8135-3704,63.0,49.0,3,2,2,0,0,0
8135-6103,32.5,39.0,3,2,2,0,0,0
8135-6104,113.0,113.0,3,2,2,0,0,0
8135-9102,36.0,46.5,3,2,2,0,0,0
8137-12701,109.5,109.5,3,2,2,0,0,0
8137-12702,120.0,119.5,3,2,2,0,0,0
8137-12703,72.5,73.0,3,2,2,0,0,0
8137-12704,118.0,113.0,3,2,2,0,0,0
8137-12705,177.0,173.0,3,2,2,0,0,0
8137-1901,220.0,218.5,3,2,2,0,0,0
8137-1902,180.0,337.0,3,2,2,0,0,0
8137-3701,359.0,18.5,3,2,2,0,0,0
8137-3702,286.0,285.0,3,2,2,0,0,0
8137-6103,184.0,297.0,3,2,2,0,0,0
8137-6104,50.5,50.0,3,2,2,0,0,0
8137-9102,312.5,313.0,3,2,2,0,0,0
8138-12701,198.5,205.0,3,2,2,0,0,0
8138-12702,173.5,176.5,3,2,2,0,0,0
8138-12704,166.0,166.0,3,2,2,0,0,0
8138-12705,129.0,128.5,3,2,2,0,0,0
8138-3701,316.5,319.5,3,2,2,0,0,0
8138-3702,182.0,194.0,3,2,2,0,0,0
8138-6101,346.5,342.0,3,2,2,0,0,0
8138-6103,252.5,253.5,3,2,2,0,0,0
8138-6104,14.5,8.5,3,2,2,0,0,0
8138-9101,39.5,39.0,3,2,2,0,0,0
8138-9102,290.5,294.0,3,2,2,0,0,0
8139-12701,210.5,202.0,3,2,2,0,0,0
8139-12705,191.5,188.0,3,2,2,0,0,0
8139-1902,91.0,97.5,3,2,2,0,0,0
8139-3703,264.0,262.5,3,2,2,0,0,0
8139-3704,18.0,21.0,3,2,2,0,0,0
8139-6101,210.5,210.5,3,2,2,0,0,0
8139-6103,107.0,103.5,3,2,2,0,0,0
8139-6104,198.0,198.0,3,2,2,0,0,0
8139-9101,182.5,164.5,3,2,2,0,0,0
8139-9102,65.0,65.5,3,2,2,0,0,0
8140-12702,11.0,5.0,3,2,2,0,0,0
8140-12703,207.5,206.5,3,2,2,0,0,0
8140-12705,226.0,226.0,3,2,2,0,0,0
8140-3701,207.5,205.0,3,2,2,0,0,0
8140-6103,352.0,351.0,3,2,2,0,0,0
8140-9102,60.5,65.0,3,2,2,0,0,0
8141-12701,351.0,353.0,3,2,2,0,0,0
8141-12702,241.0,239.5,3,2,2,0,0,0
8141-12703,179.0,183.5,3,2,2,0,0,0
8141-12704,158.0,158.5,3,2,2,0,0,0
8141-12705,99.5,108.5,3,2,2,0,0,0
8141-1901,1.0,179.0,3,2,2,0,0,0
8141-3701,143.5,146.5,3,2,2,0,0,0
8141-3702,76.0,68.5,3,2,2,0,0,0
8141-3704,223.5,223.0,3,2,2,0,0,0
8141-6102,235.5,261.0,3,2,2,0,0,0
8143-12702,179.0,179.0,3,2,2,0,0,0
8143-1901,350.0,145.5,3,2,2,0,0,0
